公司,类型,岗位,部门,城市,批次,发布时间,投递链接
阿里巴巴,应用,AI Agent研发工程师,飞猪/阿里国际数字商业集团/阿里云/Token Foundry/千问办公,北京/广州/杭州/上海,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907620027
阿里巴巴,应用,大模型应用开发工程师,阿里巴巴控股集团/阿里云/高德地图/盒马/灵犀互娱,北京/广州/杭州,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907720102
阿里巴巴,应用,AI Agent平台开发工程师,阿里云/Token Foundry/千问办公,北京/杭州,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907780033
阿里巴巴,应用,AI Agent 研发工程师-决策方向,阿里云/盒马,杭州/上海,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907720097
阿里巴巴,应用,AI应用研发工程师,阿里巴巴控股集团/淘天集团/淘宝闪购/飞猪/阿里国际数字商业集团/阿里云/Token Foundry/千问办公/千问事业部/平头哥/高德地图/虎鲸文娱集团,北京/广州/杭州/上海/深圳,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907620013
阿里巴巴,应用,AI全栈开发工程师 -大数据方向,阿里云,北京/杭州/上海,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907840004
阿里巴巴,应用,AI安全研发工程师,阿里云/千问办公,北京/杭州/上海,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907680063
阿里巴巴,应用,AI引擎研发工程师-C/C++,淘天集团,北京,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907820009
阿里巴巴,应用,安全AI研发工程师,阿里云,北京/杭州,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907780017
阿里巴巴,应用,AI全栈开发工程师,阿里巴巴控股集团/阿里云/千问办公/菜鸟,北京/杭州/深圳,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907720060
阿里巴巴,应用,全栈研发工程师,千问办公,杭州,2027届校招,2026-08-06,https://campus-talent.alibaba.com/campus/position/199907640030
阿里巴巴,应用,Harness研究工程师,Token Foundry,北京/杭州,2027届校招,2026-07-31,https://campus-talent.alibaba.com/campus/position/199908460005
百川智能,应用,【百川星耀计划】AI应用开发工程师,工程,北京,2027届校招,-,https://cq6qe6bvfr6.jobs.feishu.cn/646926/position/7508658568129366283/detail
百度,应用,全栈开发工程师(J103964),-,深圳市,2027届校招,2026-08-03,https://talent.baidu.com/jobs/detail/GRADUATE/5ea78d8e-0f9e-40f7-898e-94861224f066
百度,应用,AI审计专家(J103164),-,北京市,2027届校招,2026-07-24,https://talent.baidu.com/jobs/detail/GRADUATE/4e1d1238-e10f-4e03-b529-58d2268548e7
华为,应用,AI应用工程师,"芯片与器件BU,ICT BG,终端BG,2012实验室,数字能源BU,云计算BU,制造部,质量与流程IT部,半导体业务部,智能汽车解决方案BU",苏州/济南/东莞/南京/西安/杭州/成都/武汉/北京/长沙/上海/深圳,2027届校招,-,https://career.huawei.com/cn/job-details?advertisementId=36390
科大讯飞,应用,Agent研发工程师-Harness方向(J13347),AI研发类,安徽省·合肥市,2027届校招,2026-07-23,https://iflytek.zhiye.com/campus/detail?jobAdId=4808a259-81bf-4523-8866-2ecb63689324
